title,place_id,latitude,longitude,rating,reviews,types,type_ids,h3_r6,h3_r8,h3_r10,h3_r12
Oppa Daek,ChIJrcR5FLGf4jARJAqLuBoMG-U,13.7446334,100.5300317,2.9,245.0,"[""Korean restaurant""]","[""korean_restaurant""]",8664a4b17ffffff,8864a4b10dfffff,8a64a4b10d87fff,8c64a4b10d80bff
RODCHANA RESTAURANT,ChIJ0VV7MACZ4jARXBWXFISEBl8,13.732662699999999,100.5262422,4.0,2.0,"[""Restaurant""]","[""restaurant""]",8664a4b17ffffff,8864a4b143fffff,8a64a4b1429ffff,8c64a4b1429c5ff
Yuzu Curry Siam Square Soi.9,ChIJfR02toKZ4jARBdP-FsD5LHw,13.7441804,100.53339609999999,,,"[""Japanese curry restaurant""]","[""japanese_curry_restaurant""]",8664a4b17ffffff,8864a4b16bfffff,8a64a4b16a57fff,8c64a4b16a527ff
"glu up Thai co.,Ltd (Sookdal Korean BBQ)",ChIJOzZD7zCf4jARhtaYKjLSgBI,13.7470971,100.5241728,5.0,1.0,"[""Korean barbecue restaurant""]","[""korean_barbecue_restaurant""]",8664a4b17ffffff,8864a4b10dfffff,8a64a4b10cc7fff,8c64a4b10cdc9ff
Kenshin Izakaya Groove Central World เคนชิน อิซากายะ สาขา สาขาเซ็นทรัลเวิลด์ (ชั้น 2 โซนกรูฟ) 剣心 居酒屋,ChIJQROwJqmf4jARKCWcm3SGE6w,13.745164299999999,100.5382283,4.2,473.0,"[""Izakaya restaurant"",""Japanese regional restaurant"",""Kyoto style Japanese restaurant""]","[""japanese_izakaya_restaurant"",""japanese_regional_restaurant"",""kyoto_cuisine_restaurant""]",8664a4b17ffffff,8864a4b16bfffff,8a64a4b16b9ffff,8c64a4b16b993ff
Théo Café & Restaurant (เตโอ คาเฟ่ แอนด์ เรสเตอรองก์),ChIJFxgZGoWZ4jARJqcSacTvxGc,13.719290899999999,100.5085629,4.7,160.0,"[""Restaurant"",""Bakery"",""Coffee shop""]","[""restaurant"",""bakery"",""coffee_shop""]",8664a4b17ffffff,8864a4b151fffff,8a64a4b1514ffff,8c64a4b1514a1ff
Chop Chop Cook Shop,ChIJ0X4rpNSZ4jARqOFD2zdjaOg,13.741430999999999,100.5076983,4.4,261.0,"[""Chinese restaurant"",""Asian fusion restaurant"",""Asian restaurant"",""Chinese noodle restaurant"",""Lunch restaurant"",""Restaurant""]","[""chinese_restaurant"",""asian_fusion_restaurant"",""asian_restaurant"",""chinese_noodle_restaurant"",""lunch_restaurant"",""restaurant""]",8664a4b17ffffff,8864a4b103fffff,8a64a4b10367fff,8c64a4b103607ff
AYAR House Bar & Restaurant,ChIJu-FaEfVlHTERFpCmRhxsOS4,13.7490668,100.5414177,4.5,209.0,"[""Burmese restaurant"",""Noodle shop"",""Rice restaurant"",""Uyghur cuisine restaurant""]","[""burmese_restaurant"",""noodle_shop"",""rice_restaurant"",""uyghur_cuisine_restaurant""]",8664a4b17ffffff,8864a4b161fffff,8a64a4b16027fff,8c64a4b161525ff
Nijiki,ChIJNcxj5ZGZ4jAR1QmlhMQwj5g,13.734060099999999,100.52636079999999,3.3,3.0,"[""Japanese restaurant""]","[""japanese_restaurant""]",8664a4b17ffffff,8864a4b147fffff,8a64a4b1466ffff,8c64a4b146687ff
Arun Thai Cuisine by SEE FAH,ChIJ-bNTeqif4jAReEu3mg8ceRQ,13.7416802,100.54114369999999,4.4,257.0,"[""Thai restaurant""]","[""thai_restaurant""]",8664a4b17ffffff,8864a4b169fffff,8a64a4b1684ffff,8c64a4b1684e9ff
Ringer Hut - Thaniya,ChIJobi9jNOf4jARkCXkTtedKcM,13.729227199999999,100.5340279,4.2,197.0,"[""Japanese restaurant"",""Champon noodle restaurant""]","[""japanese_restaurant"",""champon_noodle_restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b1401ffff,8c64a4b1401a3ff
